;0
0;0
0,218330688;-0,013463758
1,268043484;-0,445183515
2,317620169;-1,465189292
3,366949342;-2,803491165
4,416021734;-4,341834679
5,465003955;-6,020545551
6,513949252;-7,79598776
7,562874741;-9,644996279
8,611840882;-11,554088
9,660789417;-13,50968647
10,70971762;-15,50841662
11,75859887;-17,54680101
12,80740109;-19,62255541
13,85608794;-21,73409174
14,90461964;-23,88022869
15,95307281;-26,0690559
17,00125011;-28,28649563
18,04917929;-30,53754011
19,09682511;-32,82189895
20,14418308;-35,13969053
21,19127546;-37,49179113
22,23812386;-39,8805423
23,28474602;-42,3112111
24,33116448;-44,79455458
25,37755968;-47,14673451
26,42348489;-49,73700023
27,46954472;-52,38527252
28,51540575;-54,98782883
29,56128786;-57,62628534
30,6069858;-60,35124006
31,6527274;-63,08499877
32,69837653;-65,8714147
33,74395391;-68,72062231
34,78945646;-71,64278701
35,83495956;-74,78146058
36,88039611;-77,90211349
37,92577097;-81,1315315
38,97107592;-84,48788269
40,01629827;-87,99580223
41,06141998;-91,68755267
42,10641556;-95,61164667
43,15126004;-99,87121537
44,19591413;-104,5111991
45,24026869;-109,7220714
